v
  0.176, reliability : -0.545, time : 220393970.000
mean :  4.767, stdev :  0.293, reliability :  0.939, time : 228982260.000
mean :  4.760, stdev :  0.291, reliability :  0.939, time : 229005410.000
mean :  4.765, stdev :  0.292, reliability :  0.939, time : 229028580.000
mean :  4.762, stdev :  0.291, reliability :  0.939, time : 229051760.000
mean :  4.761, stdev :  0.291, reliability :  0.939, time : 229074880.000
mean :  4.766, stdev :  0.292, reliability :  0.939, time : 229098050.000
mean :  4.762, stdev :  0.291, reliability :  0.939, time : 229121230.000
mean :  4.766, stdev :  0.290, reliability :  0.939, time : 229144370.000
mean :  4.764, stdev :  0.290, reliability :  0.939, time : 229167540.000
mean :  4.775, stdev :  0.281, reliability :  0.941, time : 229190720.000
mean :  3.560, stdev :  0.213, reliability :  0.940, time : 229213860.000
mean :  3.167, stdev :  0.258, reliability :  0.918, time : 229236940.000
mean :  3.090, stdev :  0.228, reliability :  0.926, time : 229260050.000
mean :  3.115, stdev :  0.231, reliability :  0.926, time : 229283180.000
mean :  3.154, stdev :  0.232, reliability :  0.927, time : 229306320.000
mean :  3.127, stdev :  0.224, reliability :  0.928, time : 229329420.000
mean :  3.084, stdev :  0.232, reliability :  0.925, time : 229352580.000
mean :  3.095, stdev :  0.230, reliability :  0.926, time : 229375700.000
