mean :  1.682, stdev :  1.250, reliability :  0.257, time : 284086590.000
mean :  1.668, stdev :  1.239, reliability :  0.258, time : 284109380.000
mean :  1.704, stdev :  1.245, reliability :  0.269, time : 284132030.000
mean :  1.672, stdev :  1.252, reliability :  0.251, time : 284154880.000
mean :  1.689, stdev :  1.246, reliability :  0.262, time : 284177540.000
mean :  1.711, stdev :  1.240, reliability :  0.275, time : 284200320.000
mean :  1.653, stdev :  1.244, reliability :  0.247, time : 284223100.000
mean :  1.698, stdev :  1.255, reliability :  0.261, time : 284245790.000
mean :  1.707, stdev :  1.231, reliability :  0.279, time : 284268580.000
mean :  1.658, stdev :  1.241, reliability :  0.252, time : 284291390.000
mean :  1.707, stdev :  1.257, reliability :  0.264, time : 284314020.000
mean :  1.694, stdev :  1.252, reliability :  0.261, time : 284336770.000
mean :  1.672, stdev :  1.242, reliability :  0.257, time : 284359580.000
mean :  1.705, stdev :  1.253, reliability :  0.265, time : 284382270.000
mean :  1.671, stdev :  1.254, reliability :  0.249, time : 284405120.000
mean :  1.694, stdev :  1.250, reliability :  0.262, time : 284427810.000
mean :  1.721, stdev :  1.246, reliability :  0.276, time : 284450500.000
mean :  1.663, stdev :  1.250, reliability :  0.249, time : 284473310.000
mean :  1.704, stdev :  1.255, reliability :  0.264, time : 284495970.000
mean :  1.720, stdev :  1.240, reliability :  0.279, time : 284518780.000
mean :  1.670, stdev :  1.247, reliability :  0.253, time : 284541570.000
mean :  1.708, stdev :  1.257, reliability :  0.264, time : 284564220.000
mean :  1.698, stdev :  1.250, reliability :  0.264, time : 284587040.000
mean :  1.677, stdev :  1.246, reliability :  0.257, time : 284609860.000
mean :  1.705, stdev :  1.252, reliability :  0.265, time : 284632510.000
mean :  1.683, stdev :  1.254, reliability :  0.255, time : 284655300.000
mean :  1.696, stdev :  1.247, reliability :  0.264, time : 284678020.000
mean :  1.721, stdev :  1.244, reliability :  0.277, time : 284700740.000
mean :  1.664, stdev :  1.248, reliability :  0.250, time : 284723550.000
mean :  1.702, stdev :  1.256, reliability :  0.262, time : 284746180.000
mean :  1.716, stdev :  1.235, reliability :  0.280, time : 284768930.000
mean :  1.666, stdev :  1.244, reliability :  0.253, time : 284791740.000
mean :  1.707, stdev :  1.257, reliability :  0.264, time : 284814430.000
mean :  1.702, stdev :  1.244, reliability :  0.269, time : 284837250.000
mean :  1.665, stdev :  1.239, reliability :  0.256, time : 284860030.000
mean :  1.703, stdev :  1.250, reliability :  0.266, time : 284882690.000
mean :  1.675, stdev :  1.249, reliability :  0.255, time : 284905470.000
mean :  1.682, stdev :  1.244, reliability :  0.261, time : 284928260.000
mean :  1.711, stdev :  1.250, reliability :  0.270, time : 284950980.000
mean :  1.657, stdev :  1.250, reliability :  0.245, time : 284973790.000
mean :  1.710, stdev :  1.261, reliability :  0.263, time : 284996480.000
mean :  1.720, stdev :  1.241, reliability :  0.279, time : 285019300.000
mean :  1.670, stdev :  1.247, reliability :  0.253, time : 285042140.000
mean :  1.704, stdev :  1.256, reliability :  0.263, time : 285064830.000
mean :  1.698, stdev :  1.242, reliability :  0.268, time : 285087580.000
mean :  1.671, stdev :  1.243, reliability :  0.256, time : 285110400.000
mean :  1.705, stdev :  1.255, reliability :  0.264, time : 285133020.000
mean :  1.682, stdev :  1.253, reliability :  0.255, time : 285155810.000
mean :  1.685, stdev :  1.249, reliability :  0.259, time : 285178560.000
mean :  1.720, stdev :  1.250, reliability :  0.273, time : 285201280.000
mean :  1.667, stdev :  1.251, reliability :  0.250, time : 285224130.000
mean :  1.701, stdev :  1.253, reliability :  0.263, time : 285246780.000
mean :  1.719, stdev :  1.239, reliability :  0.279, time : 285269540.000
mean :  1.664, stdev :  1.244, reliability :  0.252, time : 285292350.000
mean :  1.707, stdev :  1.256, reliability :  0.264, time : 285315010.000
mean :  1.703, stdev :  1.239, reliability :  0.273, time : 285337790.000
mean :  1.666, stdev :  1.241, reliability :  0.255, time : 285360610.000
mean :  1.705, stdev :  1.253, reliability :  0.265, time : 285383230.000
mean :  1.686, stdev :  1.255, reliability :  0.256, time : 285406020.000
mean :  1.676, stdev :  1.244, reliability :  0.258, time : 285428830.000
mean :  1.714, stdev :  1.247, reliability :  0.272, time : 285451520.000
mean :  1.665, stdev :  1.252, reliability :  0.248, time : 285474340.000
mean :  1.697, stdev :  1.252, reliability :  0.262, time : 285496960.000
