 0.000, reliability :    NAN, time : 583165700.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590592190.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590613310.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590634370.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590655550.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590676740.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590697660.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590718590.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590739710.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590760770.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590781950.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590803140.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590824190.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590845180.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590866180.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590887300.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590908350.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590929540.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590950660.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590971710.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 590992770.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 591013700.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 591034750.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 591055940.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 591076990.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 591098240.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 591119230.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 591140220.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 591161150.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 591182210.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 591203390.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 591224450.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 591245700.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 591266690.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 591287680.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 591308740.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 591329790.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 591350980.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 591372030.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 591393150.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 591414210.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 591435140.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 591456190.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 591477250.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 591498430.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 591519490.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 591540670.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 591561660.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 591582590.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 591603650.000
mean :  0.067, stdev :  0.069, reliability : -0.026, time : 591625020.000
mean :  0.416, stdev :  0.097, reliability :  0.767, time : 591647870.000
mean :  0.752, stdev :  0.111, reliability :  0.852, time : 591670850.000
mean :  1.065, stdev :  0.121, reliability :  0.887, time : 591693760.000
mean :  1.357, stdev :  0.131, reliability :  0.903, time : 591717060.000
mean :  1.624, stdev :  0.138, reliability :  0.915, time : 591739970.000
mean :  1.852, stdev :  0.144, reliability :  0.922, time : 591763010.000
mean :  2.078, stdev :  0.152, reliability :  0.927, time : 591786240.000
mean :  2.290, stdev :  0.157, reliability :  0.931, time : 591809280.000
mean :  2.487, stdev :  0.163, reliability :  0.934, time : 591832380.000
mean :  2.667, stdev :  0.167, reliability :  0.937, time : 591855680.000
